# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps
8.57190,-3.53508,2.69267,-1.04968,0.09454,5.00000
8.63746,-3.50059,2.63692,-1.04304,0.11818,5.00000
8.70310,-3.46554,2.58142,-1.03455,0.13448,5.00000
8.76886,-3.42990,2.52615,-1.02586,0.13620,5.00000
8.83480,-3.39364,2.47108,-1.01689,0.14029,5.00000
8.90097,-3.35672,2.41618,-1.00773,0.14277,5.00000
8.96738,-3.31911,2.36143,-0.99842,0.14488,5.00000
9.03409,-3.28080,2.30682,-0.98900,0.14637,5.00000
9.10111,-3.24177,2.25234,-0.97949,0.14741,5.00000
9.16847,-3.20200,2.19798,-0.96993,0.14808,5.00000
9.23617,-3.16148,2.14374,-0.96034,0.14847,5.00000
9.30422,-3.12020,2.08964,-0.95072,0.14863,5.00000
9.37264,-3.07815,2.03567,-0.94111,0.14865,5.00000
9.44142,-3.03533,1.98185,-0.93149,0.14858,5.00000
9.51055,-2.99173,1.92819,-0.92188,0.14847,5.00000
9.58004,-2.94736,1.87471,-0.91228,0.14837,5.00000
9.64987,-2.90222,1.82144,-0.90269,0.14830,5.00000
9.72003,-2.85631,1.76838,-0.89309,0.14831,5.00000
9.79051,-2.80963,1.71558,-0.88350,0.14841,5.00000
9.86129,-2.76219,1.66305,-0.87389,0.14863,5.00000
9.93235,-2.71400,1.61083,-0.86426,0.14899,5.00000
10.00367,-2.66507,1.55893,-0.85461,0.14947,5.00000
10.07524,-2.61540,1.50741,-0.84492,0.15011,5.00000
10.14704,-2.56500,1.45627,-0.83518,0.15089,5.00000
10.21904,-2.51388,1.40557,-0.82539,0.15181,5.00000
10.29123,-2.46205,1.35532,-0.81554,0.15288,5.00000
10.36359,-2.40952,1.30556,-0.80561,0.15410,5.00000
10.43610,-2.35629,1.25631,-0.79560,0.15545,5.00000
10.50875,-2.30238,1.20761,-0.78549,0.15693,5.00000
10.58153,-2.24778,1.15949,-0.77529,0.15854,5.00000
10.65441,-2.19252,1.11198,-0.76498,0.16026,5.00000
10.72733,-2.13663,1.06515,-0.75455,0.16210,5.00000
10.80023,-2.08014,1.01905,-0.74400,0.16398,5.00000
10.87310,-2.02308,0.97374,-0.73333,0.16604,5.00000
10.94588,-1.96547,0.92926,-0.72253,0.16786,5.00000
11.01856,-1.90732,0.88566,-0.71160,0.17084,5.00000
11.09110,-1.84866,0.84299,-0.70039,0.17534,5.00000
11.16348,-1.78950,0.80129,-0.68893,0.17916,5.00000
11.23567,-1.72987,0.76060,-0.67721,0.18318,5.00000
11.30764,-1.66979,0.72097,-0.66521,0.18754,5.00000
11.37937,-1.60928,0.68245,-0.65293,0.19221,5.00000
11.45085,-1.54835,0.64508,-0.64034,0.19718,5.00000
11.52206,-1.48702,0.60890,-0.62741,0.20246,5.00000
11.59297,-1.42531,0.57396,-0.61414,0.20807,5.00000
11.66359,-1.36323,0.54030,-0.60049,0.21401,5.00000
11.73389,-1.30081,0.50797,-0.58644,0.22029,5.00000
11.80387,-1.23805,0.47699,-0.57198,0.22692,4.98446
11.87354,-1.17497,0.44743,-0.55707,0.23391,4.92691
11.94288,-1.11159,0.41930,-0.54170,0.24126,4.86982
12.01190,-1.04791,0.39266,-0.52585,0.24902,4.81330
12.08062,-0.98395,0.36755,-0.50948,0.25714,4.75745
12.14903,-0.91972,0.34399,-0.49257,0.26563,4.70237
12.21717,-0.85522,0.32204,-0.47510,0.27448,4.64817
12.28504,-0.79046,0.30172,-0.45705,0.28368,4.59497
12.35267,-0.72545,0.28308,-0.43839,0.29322,4.54288
12.42009,-0.66019,0.26614,-0.41910,0.30306,4.49204
12.48734,-0.59468,0.25095,-0.39917,0.31317,4.44258
12.55445,-0.52892,0.23753,-0.37858,0.32352,4.39464
12.62147,-0.46292,0.22592,-0.35731,0.33404,4.34837
12.68846,-0.39665,0.21615,-0.33536,0.34467,4.30394
12.75545,-0.33012,0.20825,-0.31271,0.35533,4.26150
12.82254,-0.26330,0.20226,-0.28938,0.36593,4.22122
12.88979,-0.19618,0.19819,-0.26537,0.37634,4.18326
12.95720,-0.12880,0.19610,-0.24070,0.38646,4.14783
13.02475,-0.06124,0.19602,-0.21539,0.39610,4.11509
13.09244,0.00642,0.19800,-0.18947,0.40515,4.08518
13.16024,0.07409,0.20209,-0.16299,0.41339,4.05804
13.22811,0.14168,0.20832,-0.13600,0.42088,4.03369
13.29603,0.20908,0.21666,-0.10858,0.42667,4.01033
13.36395,0.27620,0.22703,-0.08084,0.43055,3.98477
13.43182,0.34294,0.23937,-0.05284,0.43556,3.95809
13.49959,0.40921,0.25359,-0.02448,0.44111,3.93063
13.56723,0.47491,0.26964,0.00426,0.44778,3.90366
13.63469,0.53998,0.28744,0.03345,0.45408,3.87662
13.70191,0.60431,0.30693,0.06313,0.46579,3.87662
13.76885,0.66784,0.32803,0.09345,0.46429,3.87662
13.83547,0.73049,0.35068,0.12305,0.45120,3.88351
13.90172,0.79219,0.37482,0.15186,0.43960,3.90347
13.96755,0.85286,0.40036,0.17995,0.42927,3.92788
14.03293,0.91245,0.42726,0.20742,0.42020,3.95474
14.09781,0.97089,0.45545,0.23434,0.41232,3.98289
14.16215,1.02812,0.48486,0.26079,0.40562,4.01155
14.22593,1.08408,0.51543,0.28685,0.40004,4.04016
14.28910,1.13874,0.54711,0.31258,0.39557,4.06824
14.35164,1.19204,0.57984,0.33805,0.39219,4.09535
14.41354,1.24395,0.61355,0.36335,0.38990,4.12112
14.47477,1.29442,0.64821,0.38853,0.38868,4.14513
14.53532,1.34344,0.68377,0.41367,0.38855,4.16696
14.59520,1.39097,0.72017,0.43883,0.38949,4.17096
14.65440,1.43702,0.75739,0.46409,0.39152,4.14307
14.71296,1.48157,0.79539,0.48952,0.39464,4.11325
14.77088,1.52463,0.83414,0.51518,0.39884,4.08219
14.82823,1.56620,0.87363,0.54115,0.40411,4.05053
14.88513,1.60639,0.91391,0.56749,0.41042,4.01880
14.94200,1.64547,0.95522,0.59427,0.41770,3.98737
14.99904,1.68359,0.99766,0.62156,0.42586,3.95674
15.05642,1.72087,1.04129,0.64939,0.43472,3.92751
15.11433,1.75744,1.08618,0.67782,0.44407,3.90038
15.17290,1.79341,1.13241,0.70685,0.45353,3.87626
15.23228,1.82890,1.18002,0.73649,0.46275,3.85668
15.29262,1.86402,1.22908,0.76670,0.47062,3.85668
15.35402,1.89888,1.27962,0.79717,0.46955,3.85668
15.41660,1.93359,1.33170,0.82706,0.45313,3.86214
15.48047,1.96824,1.38535,0.85564,0.42997,3.88359
15.54571,2.00295,1.44059,0.88256,0.40159,3.91509
15.61240,2.03780,1.49746,0.90753,0.36985,3.95544
15.68064,2.07289,1.55598,0.93038,0.33620,4.00368
15.75046,2.10831,1.61615,0.95102,0.30197,4.05896
15.82206,2.14420,1.67810,0.96946,0.26824,4.12053
15.89566,2.18070,1.74201,0.98575,0.23579,4.18780
15.97075,2.21775,1.80733,1.00000,0.20516,4.25953
16.04675,2.25525,1.87343,1.01234,0.17662,4.33442
16.12306,2.29312,1.93968,1.02290,0.15045,4.41125
16.19907,2.33126,2.00543,1.03184,0.12616,4.34568
16.27419,2.36958,2.07004,1.03929,0.10522,4.22751
16.34786,2.40800,2.13290,1.04562,0.09481,4.10704
16.41953,2.44643,2.19340,1.05140,0.07253,3.98472
16.48874,2.48481,2.25099,1.05456,0.02810,3.86146
16.55508,2.52309,2.30516,1.05527,-0.00609,3.73928
16.61825,2.56126,2.35550,1.05376,-0.04077,3.61944
